sku,barcode,product_name,brand,category_name,unit_price,cost_price,reorder_level,preferred_supplier,supplier_lead_time_days,safety_stock,minimum_order_quantity,units_per_package
SKU-BEV-001,890100000001,Spring Water 500ml,AquaPure,Beverages,0.75,0.32,24,ClearSpring Distributors,3,12,24,24
SKU-BEV-002,890100000002,Spring Water 1.5L,AquaPure,Beverages,1.35,0.62,18,ClearSpring Distributors,3,8,12,12
SKU-BEV-003,890100000003,Sparkling Water 330ml,FizzWell,Beverages,1.1,0.48,18,ClearSpring Distributors,4,8,24,24
SKU-BEV-004,890100000004,Cola Can 330ml,RefreshCo,Beverages,1.25,0.58,24,Metro Beverage Supply,4,12,24,24
SKU-BEV-005,890100000005,Orange Soda 500ml,RefreshCo,Beverages,1.5,0.7,18,Metro Beverage Supply,4,8,12,12
SKU-BEV-006,890100000006,Apple Juice 1L,Orchard Gold,Beverages,2.85,1.45,12,FreshFields Wholesale,5,6,6,6
SKU-BEV-007,890100000007,Iced Tea Lemon 500ml,TeaTrail,Beverages,1.75,0.82,18,Metro Beverage Supply,4,8,12,12
SKU-BEV-008,890100000008,Energy Drink 250ml,VoltUp,Beverages,2.4,1.2,18,Metro Beverage Supply,4,8,12,12
SKU-SNK-001,890100000009,Potato Chips Sea Salt 150g,CrispHouse,Snacks,2.25,1.05,16,SnackSource Ltd,5,8,12,12
SKU-SNK-002,890100000010,Tortilla Chips Nacho 200g,CrispHouse,Snacks,2.75,1.32,12,SnackSource Ltd,5,6,12,12
SKU-SNK-003,890100000011,Peanuts Roasted 250g,NutHarvest,Snacks,3.2,1.7,10,SnackSource Ltd,6,5,6,6
SKU-SNK-004,890100000012,Trail Mix 200g,NutHarvest,Snacks,4.5,2.45,8,SnackSource Ltd,6,4,6,6
SKU-SNK-005,890100000013,Chocolate Bar Milk 45g,CocoaPeak,Snacks,1.4,0.62,24,SweetGoods Supply,5,12,24,24
SKU-SNK-006,890100000014,Granola Bar Oats 6 Pack,DailyGrain,Snacks,3.9,1.95,10,FreshFields Wholesale,5,5,6,6
SKU-SNK-007,890100000015,Popcorn Microwave 3 Pack,KernelJoy,Snacks,3.5,1.72,8,SnackSource Ltd,6,4,6,6
SKU-SNK-008,890100000016,Crackers Original 250g,TableTime,Snacks,2.6,1.2,10,SnackSource Ltd,5,5,12,12
SKU-DRY-001,890100000017,Long Grain Rice 1kg,HarvestHome,Pantry,3.25,1.68,12,Global Grocers,7,6,12,12
SKU-DRY-002,890100000018,All Purpose Flour 1kg,HarvestHome,Pantry,2.4,1.15,10,Global Grocers,7,5,12,12
SKU-DRY-003,890100000019,Granulated Sugar 1kg,HarvestHome,Pantry,2.55,1.2,10,Global Grocers,7,5,12,12
SKU-DRY-004,890100000020,Spaghetti 500g,PastaMio,Pantry,1.85,0.82,14,Global Grocers,7,7,20,20
SKU-DRY-005,890100000021,Macaroni 500g,PastaMio,Pantry,1.85,0.82,14,Global Grocers,7,7,20,20
SKU-DRY-006,890100000022,Baked Beans 400g,PantryBest,Pantry,1.65,0.74,18,Global Grocers,7,9,24,24
SKU-DRY-007,890100000023,Tomato Sauce 500g,PantryBest,Pantry,2.35,1.08,12,Global Grocers,7,6,12,12
SKU-DRY-008,890100000024,Peanut Butter 340g,NutHarvest,Pantry,4.75,2.45,8,Global Grocers,7,4,6,6
